client_id,client_name,email,phone,address,property_address,connection_id,status
C216,Helena Melo,cunharenata@example.com,927 426 629,"Travessa Clara Neves, 71, 0646-287 Guimarães","R. Pereira, S/N, 3504-960 Santana",CN1029,Active
C452,Wilson Cruz,bryan90@example.org,+351924257306,"Avenida de Domingues, 4, 7071-398 Vila Nova de Santo André","Largo Cardoso, S/N, 1329-887 Freamunde",CN1030,Disconnected
C424,Yara do Vicente,zalves@example.net,(351) 960960035,"Rua de Pinheiro, 858, 9592-323 Gafanha da Nazaré","Rua de Pinheiro, 858, 9592-323 Gafanha da Nazaré",CN1031,Active
C353,Flor Araújo,andre70@example.org,(351) 969107406,"Travessa Brito, 94, 1423-691 Leiria","Av de Carneiro, 2, 6981-413 Mirandela",CN1032,Disconnected
C077,Petra Antunes-Neves,assuncaomatilde@example.org,(351) 916 231 203,"Praça Silva, 10, 0084-840 Fátima","Praça Silva, 10, 0084-840 Fátima",CN1033,Suspended
C370,Joaquim Fonseca-Silva,yasmin90@example.org,(351) 295427707,"Largo Morais, 783, 9149-851 Gafanha da Nazaré","Rua Filipa Maia, 16, 5701-703 Gouveia",CN1034,Disconnected
C511,Adriana Barros,mmoura@example.org,(351) 258486899,"Praça Valente, 58, 0450-691 Sacavém","Alameda de Garcia, S/N, 8308-306 Vale de Cambra",CN1035,Active
C452,Wilson Cruz,bryan90@example.org,+351924257306,"Avenida de Domingues, 4, 7071-398 Vila Nova de Santo André","Av de Brito, 17, 8814-112 Olhão",CN1036,Disconnected
C336,Larissa Soares,alexandremarques@example.org,(351) 910 258 955,"Alameda José Ramos, 760, 6265-826 Coimbra","Praça de Anjos, 18, 6933-154 Guarda",CN1037,Suspended
C253,Ângelo Nogueira,xavier28@example.net,(351) 963188485,"Travessa Faria, 96, 0548-510 Seia","Travessa Faria, 96, 0548-510 Seia",CN1038,Active
C288,Alice Lourenço,wazevedo@example.com,228246747,"Avenida da Galega, 8, 2300-857 Sacavém","Largo Vicente, 79, 5779-911 Seia",CN1039,Active
C190,Lourenço Castro,alicia19@example.org,+351257013290,"Travessa das Necessidades, 89, 3549-465 Ílhavo","Travessa das Necessidades, 89, 3549-465 Ílhavo",CN1040,Disconnected
C083,Naiara Ramos,carlotabarros@example.org,(351) 206596575,"Largo de Pires, 637, 6547-935 Montemor-o-Novo","Av da Graça, S/N, 1929-022 Praia da Vitória",CN1041,Active
C433,Mariana Esteves,vicentecarneiro@example.org,(351) 919 328 963,"Travessa das Necessidades, 86, 5240-148 Lagoa","Travessa de Cartes, 69, 9041-898 Santarém",CN1042,Disconnected
C057,Camila Ramos-Baptista,goncalvesalexandra@example.net,918669125,"Largo das Andorinhas, 39, 6801-824 Fiães","Avenida Alves, S/N, 7896-951 Abrantes",CN1043,Active
C021,Vítor da Paiva,bleal@example.com,+351912735454,"Avenida Marco Valente, 97, 7770-143 Macedo de Cavaleiros","R. de Matos, 33, 8520-232 Vizela",CN1044,Disconnected
C308,Bárbara Leal,gabrielaborges@example.com,(351) 274430963,"Praça dos Moinhos, 80, 4510-526 Albufeira","Av das Gaivotas ao Parque das Nações, S/N, 9158-912 Vila Franca de Xira",CN1045,Suspended
C074,Sofia Campos,jantunes@example.com,928 826 343,"Largo do Duro, 13, 6990-139 São Mamede de Infesta","Av Gaspar, S/N, 9182-851 Santa Comba Dão",CN1046,Active
C563,Rafael Vaz,teresamorais@example.org,(351) 935238885,"Largo Irina Martins, 60, 7874-422 Peso da Régua","Largo Irina Martins, 60, 7874-422 Peso da Régua",CN1047,Active
C529,Constança Sousa-Marques,azevedovera@example.org,(351) 961 261 632,"R. do Prof. Egas Moniz, 48, 6297-454 Almada","Largo Rafael Sousa, 290, 5996-706 Beja",CN1048,Suspended
C183,Sebastião Jesus,alexandra99@example.org,(351) 923 557 702,"Largo do Prof. Hernâni Monteiro, 90, 9588-039 Ponte de Sor","Rua Vera Pinto, S/N, 2600-014 Angra do Heroísmo",CN1049,Suspended
C556,Yasmin Nunes,carneirogabriel@example.org,+351920938694,"Largo de Vicente, 98, 1457-887 Santiago do Cacém","Praça de Castro, 702, 5686-295 Estarreja",CN1050,Disconnected
C156,Pilar Gaspar,laura64@example.com,+351969876220,"Avenida de Cruz, 7, 1178-006 Costa da Caparica","Avenida Cardeal Cerejeira, 40, 5084-243 Viana do Castelo",CN1051,Active
C026,Fabiana Moura,fmatos@example.net,(351) 936 594 013,"R. Monteiro, 57, 9671-756 Paredes","Alameda de Chaves de Oliveira, 51, 9396-061 Matosinhos",CN1052,Suspended
C464,Teresa Antunes,razevedo@example.net,960 159 591,"Largo de Carrilho Videira, 85, 7583-392 Ponte de Sor","Largo de Carrilho Videira, 85, 7583-392 Ponte de Sor",CN1053,Suspended
C549,Jorge Neves,ramosmafalda@example.com,(351) 914915076,"Alameda das Laranjeiras, 1, 3440-777 Rebordosa","Alameda das Laranjeiras, 1, 3440-777 Rebordosa",CN1054,Suspended
C503,Filipa Machado,brunoandrade@example.com,(351) 912 369 362,"Av Daniel Carneiro, S/N, 7137-271 Setúbal","Largo Isabela Abreu, 12, 3638-564 Bragança",CN1055,Suspended
C224,João Magalhães,vicenteivan@example.org,+351963539613,"Travessa de Rodrigues, 85, 7842-711 Tavira","Travessa de Rodrigues, 85, 7842-711 Tavira",CN1056,Suspended
C189,Henrique Nogueira,lmagalhaes@example.com,(351) 919382761,"Alameda Central, 48, 1971-997 Vila Nova de Santo André","Alameda Central, 48, 1971-997 Vila Nova de Santo André",CN1057,Suspended
C025,Kévim Melo,cgaspar@example.org,(351) 964713493,"R. Miguel Campos, S/N, 2499-471 Oliveira de Azeméis","R. Miguel Campos, S/N, 2499-471 Oliveira de Azeméis",CN1058,Disconnected
C358,Edgar Campos,ivannascimento@example.net,237744197,"Alameda do Adro, S/N, 6620-471 Albufeira","Alameda do Adro, S/N, 6620-471 Albufeira",CN1059,Disconnected
C391,Kelly Lourenço-Macedo,tlima@example.net,+351918193242,"Travessa de Viterbo de Campos, S/N, 5205-756 Vila Real","Praça do Carregal, 61, 9220-949 Tarouca",CN1060,Suspended
C223,Sofia Garcia,azevedosalvador@example.com,(351) 936479473,"Rua Panorâmica, S/N, 5207-167 Entroncamento","Avenida André Macedo, 5, 9375-919 Gafanha da Nazaré",CN1061,Active
C404,Bruno Nogueira,brancorenata@example.org,926457938,"Largo Loureiro, S/N, 9168-154 Ribeira Grande","Largo Loureiro, S/N, 9168-154 Ribeira Grande",CN1062,Suspended
C053,Igor Gonçalves,enunes@example.com,(351) 933 450 541,"Praça do José da Mestra, 35, 7584-161 Gafanha da Nazaré","R. de Monteiro, 5, 1461-331 Portalegre",CN1063,Suspended
C395,Igor Pinho,carvalhoalvaro@example.org,+351967134324,"R. de Freitas, 6, 3343-244 Matosinhos","Largo de Grijó, 9, 8986-818 Loures",CN1064,Disconnected
C527,Ivan Faria,baptistamateus@example.net,230748207,"Avenida de Baptista, 49, 0655-782 Chaves","R. Neves, 64, 2022-017 Olhão",CN1065,Suspended
C430,Vicente Barbosa,ngarcia@example.org,(351) 913424579,"Alameda de Loureiro, 129, 0320-203 Reguengos de Monsaraz","Avenida de Viterbo de Campos, 860, 2643-850 Viseu",CN1066,Active
C216,Helena Melo,cunharenata@example.com,927 426 629,"Travessa Clara Neves, 71, 0646-287 Guimarães","R. Pereira, S/N, 3504-960 Santana",CN1067,Active
C351,Samuel Moreira-Ferreira,carlota05@example.com,+351928971480,"R. Tomás Mota, S/N, 9653-136 Mirandela","R. Ema Martins, 60, 7398-622 Mangualde",CN1068,Disconnected
C152,Nádia Guerreiro,rpereira@example.com,(351) 928 463 920,"Largo Machado, 227, 5003-691 Portimão","Travessa Mota, 77, 8455-939 Paços de Ferreira",CN1069,Disconnected
C254,Mia Vicente,mendessantiago@example.org,293544926,"Rua de Lopes, 31, 6110-627 Seia","Rua de Lopes, 31, 6110-627 Seia",CN1070,Suspended
C438,Isabela Fernandes,barbara05@example.com,(351) 922388565,"Largo Lima, 48, 4116-597 Póvoa de Varzim","Largo Lima, 48, 4116-597 Póvoa de Varzim",CN1071,Active
C186,Violeta-Helena Rocha,rubencosta@example.org,(351) 964857142,"Av Reis, 28, 8585-424 Funchal","Rua de Costa, S/N, 8111-719 Aveiro",CN1072,Active
C427,Anita Matias,lucas16@example.com,(351) 924 502 329,"R. Nair Monteiro, S/N, 9345-962 Fundão","R. Nair Monteiro, S/N, 9345-962 Fundão",CN1073,Active
C588,Emma Jesus-Valente,glima@example.com,912 409 649,"Travessa Letícia Martins, S/N, 7842-170 Vila Real","Travessa Letícia Martins, S/N, 7842-170 Vila Real",CN1074,Disconnected
C116,Sofia Moura,xbrito@example.net,(351) 922 330 307,"Travessa Vasco Miranda, 26, 3579-727 Pombal","Travessa Daniel Andrade, 70, 9118-722 Montemor-o-Novo",CN1075,Disconnected
C342,Xavier Guerreiro,almeidarui@example.net,(351) 915 379 538,"Rua de Neves, 2, 9196-655 Guarda","Rua de Neves, 2, 9196-655 Guarda",CN1076,Active
C057,Camila Ramos-Baptista,goncalvesalexandra@example.net,918669125,"Largo das Andorinhas, 39, 6801-824 Fiães","Avenida Alves, S/N, 7896-951 Abrantes",CN1077,Disconnected
C157,Ricardo Cardoso-Azevedo,ogoncalves@example.org,(351) 967228200,"Praça da Carvalhosa, 94, 2829-979 Valongo","Praça Reis, 19, 2379-006 Miranda do Douro",CN1078,Active
C162,Inês Almeida,mariopinheiro@example.org,913 009 792,"R. Ema Baptista, 195, 5281-273 Vila Nova de Santo André","Travessa Ramos, 186, 7218-600 Fiães",CN1079,Disconnected
C253,Ângelo Nogueira,xavier28@example.net,(351) 963188485,"Travessa Faria, 96, 0548-510 Seia","Travessa Faria, 96, 0548-510 Seia",CN1080,Disconnected
C323,Benjamim Leite,yara24@example.com,(351) 286333021,"Alameda Loureiro, S/N, 9179-202 Estremoz","Alameda Loureiro, S/N, 9179-202 Estremoz",CN1081,Suspended
C531,Maria de Figueiredo,sandro82@example.org,(351) 936 732 318,"Alameda Valente, 681, 2450-000 Alverca do Ribatejo","Alameda Valente, 681, 2450-000 Alverca do Ribatejo",CN1082,Suspended
C125,Carlos Castro,gaspartome@example.net,+351916110022,"Travessa da Senhora da Lapa, 615, 1667-467 Freamunde","Avenida de Pinho, 66, 2853-533 Montijo",CN1083,Disconnected
C231,Gabriel Sousa,aliciafaria@example.org,(351) 230347786,"R. Márcio Brito, S/N, 4820-700 Ourém","Travessa de Borges, 14, 9822-180 Póvoa de Varzim",CN1084,Disconnected
C254,Mia Vicente,mendessantiago@example.org,293544926,"Rua de Lopes, 31, 6110-627 Seia","Rua de Lopes, 31, 6110-627 Seia",CN1085,Active
C125,Carlos Castro,gaspartome@example.net,+351916110022,"Travessa da Senhora da Lapa, 615, 1667-467 Freamunde","Avenida de Pinho, 66, 2853-533 Montijo",CN1086,Disconnected
C031,Amélia Reis-Araújo,lunasousa@example.com,(351) 216 117 240,"Travessa Lima, 36, 8692-221 Lourosa","Travessa Lima, 36, 8692-221 Lourosa",CN1087,Disconnected
C470,Beatriz Loureiro,ccampos@example.net,+351282975147,"Travessa Grande, 62, 1058-752 Póvoa de Santa Iria","R. de Reis, S/N, 6175-518 Almada",CN1088,Suspended
C195,Paulo Vicente,mariamelo@example.com,(351) 924 372 805,"Praça Tatiana Maia, 83, 3950-410 Silves","Praça Tatiana Maia, 83, 3950-410 Silves",CN1089,Disconnected
C254,Mia Vicente,mendessantiago@example.org,293544926,"Rua de Lopes, 31, 6110-627 Seia","Rua de Lopes, 31, 6110-627 Seia",CN1090,Active
C566,Petra Maia,soraiaabreu@example.org,+351968254318,"R. Correia, S/N, 3920-491 Póvoa de Santa Iria","R. Correia, S/N, 3920-491 Póvoa de Santa Iria",CN1091,Suspended
C340,Filipe Azevedo,miguelfreitas@example.com,(351) 931 584 776,"R. de Costa, 246, 2376-769 Ovar","Rua de Rocha, 27, 0598-445 Mealhada",CN1092,Disconnected
C245,Tatiana-Lorena Simões,zreis@example.com,+351922321941,"Alameda Batista, S/N, 7769-749 Reguengos de Monsaraz","Av de Miranda, 6, 7480-957 Viseu",CN1093,Active
C345,Simão Anjos,yasmin01@example.org,(351) 214596422,"Largo Gustavo Pinheiro, 27, 9774-573 Matosinhos","Av José António Marques, 79, 0667-005 Rio Maior",CN1094,Active
C141,Madalena Almeida,liasousa@example.org,932722992,"Rua Moreira, 2, 5303-856 Serpa","Largo de Miranda, 6, 3285-558 Ílhavo",CN1095,Active
C593,Salomé Baptista,sebastiao94@example.com,(351) 961 192 920,"Alameda Nair Andrade, 21, 1603-988 Lagoa","Praça de Teixeira, 3, 3186-830 Vila Real de Santo António",CN1096,Disconnected
C038,Gabriela da Rodrigues,antunesconstanca@example.com,931 771 159,"Travessa Luana Rocha, 68, 9847-896 Elvas","Largo de Mota, 69, 5055-362 Santo Tirso",CN1097,Disconnected
C513,Vitória Pinto,motajessica@example.org,284136852,"Avenida Afonso de Albuquerque, 137, 2424-462 Horta","Avenida Afonso de Albuquerque, 137, 2424-462 Horta",CN1098,Disconnected
C216,Helena Melo,cunharenata@example.com,927 426 629,"Travessa Clara Neves, 71, 0646-287 Guimarães","R. Pereira, S/N, 3504-960 Santana",CN1099,Disconnected
