connection_id,client_id,client_name,property_address,connection_type,install_date,meter_serial,status,technician_id,technician_name
CN1017,C042,Fabiana Cunha,"Travessa Rafaela Figueiredo, 93, 6535-232 Santana",Single-phase,3/28/2019,MTR1017,Disconnected,T051,David do Cardoso
CN1018,C087,Ismael Pacheco,"Av Sá, 66, 9170-851 Lourosa",Single-phase,2/22/2022,MTR1018,Active,T107,Victória Guerreiro
CN1019,C305,Bruna Borges,"Travessa de Luís António Verney, S/N, 6329-573 Torres Vedras",Three-phase,10/29/2020,MTR1019,Disconnected,T060,Carlos Soares
CN1020,C404,Bruno Nogueira,"Largo Loureiro, S/N, 9168-154 Ribeira Grande",Single-phase,11/12/2024,MTR1020,Active,T106,Filipe Costa
CN1021,C052,Ana Rocha,"Avenida Laura Matias, 1, 9951-670 Peniche",Single-phase,7/3/2024,MTR1021,Suspended,T045,Inês Paiva
CN1022,C087,Ismael Pacheco,"Rua Cruz, 21, 5537-147 Queluz",Single-phase,8/2/2021,MTR1022,Active,T120,Raquel Coelho
CN1023,C280,Sérgio Paiva,"Avenida de Barros, 75, 2438-070 Silves",Three-phase,11/29/2021,MTR1023,Disconnected,T085,Nádia Magalhães
CN1024,C099,Noah Soares,"Av Monteiro, 8, 9994-457 Oliveira do Hospital",Single-phase,10/23/2021,MTR1024,Active,T120,Raquel Coelho
CN1025,C102,Frederico Gaspar,"Praça do Colégio, 37, 6041-348 Angra do Heroísmo",Single-phase,8/3/2021,MTR1025,Disconnected,T009,Matilde-Ema Carvalho
CN1026,C152,Nádia Guerreiro,"Travessa Mota, 77, 8455-939 Paços de Ferreira",Single-phase,7/24/2023,MTR1026,Active,T058,Henrique Santos-Amorim
CN1027,C253,Ângelo Nogueira,"Travessa Faria, 96, 0548-510 Seia",Three-phase,6/14/2019,MTR1027,Suspended,T006,Rafaela da Nogueira
CN1028,C160,Alice Cardoso,"Rua do Carrasco, 84, 7051-204 Bragança",Single-phase,1/3/2023,MTR1028,Active,T070,Camila Pereira
CN1029,C216,Helena Melo,"R. Pereira, S/N, 3504-960 Santana",Three-phase,12/11/2019,MTR1029,Active,T065,Mafalda Baptista
CN1030,C452,Wilson Cruz,"Largo Cardoso, S/N, 1329-887 Freamunde",Three-phase,7/18/2019,MTR1030,Disconnected,T118,Melissa Cardoso
CN1031,C424,Yara do Vicente,"Rua de Pinheiro, 858, 9592-323 Gafanha da Nazaré",Three-phase,10/21/2025,MTR1031,Active,T099,Valentim Miranda
CN1032,C353,Flor Araújo,"Av de Carneiro, 2, 6981-413 Mirandela",Single-phase,9/20/2020,MTR1032,Disconnected,T113,Marcos Gaspar
CN1033,C077,Petra Antunes-Neves,"Praça Silva, 10, 0084-840 Fátima",Three-phase,2/27/2022,MTR1033,Suspended,T029,Ema Vaz
CN1034,C370,Joaquim Fonseca-Silva,"Rua Filipa Maia, 16, 5701-703 Gouveia",Single-phase,4/9/2021,MTR1034,Disconnected,T008,Mauro Faria
CN1035,C511,Adriana Barros,"Alameda de Garcia, S/N, 8308-306 Vale de Cambra",Three-phase,10/31/2024,MTR1035,Active,T055,Leandro Sousa
CN1036,C452,Wilson Cruz,"Av de Brito, 17, 8814-112 Olhão",Three-phase,6/19/2024,MTR1036,Disconnected,T083,Noa Simões
CN1037,C336,Larissa Soares,"Praça de Anjos, 18, 6933-154 Guarda",Three-phase,3/6/2020,MTR1037,Suspended,T090,Lia-Mélanie Melo
CN1038,C253,Ângelo Nogueira,"Travessa Faria, 96, 0548-510 Seia",Three-phase,2/27/2021,MTR1038,Active,T039,Júlia Assunção
CN1039,C288,Alice Lourenço,"Largo Vicente, 79, 5779-911 Seia",Three-phase,10/1/2019,MTR1039,Active,T069,Eva Fonseca
CN1040,C190,Lourenço Castro,"Travessa das Necessidades, 89, 3549-465 Ílhavo",Three-phase,11/13/2019,MTR1040,Disconnected,T029,Ema Vaz
CN1041,C083,Naiara Ramos,"Av da Graça, S/N, 1929-022 Praia da Vitória",Three-phase,2/15/2020,MTR1041,Active,T104,Ângela Cardoso
CN1042,C433,Mariana Esteves,"Travessa de Cartes, 69, 9041-898 Santarém",Three-phase,8/24/2025,MTR1042,Disconnected,T053,Camila Tavares
CN1043,C057,Camila Ramos-Baptista,"Avenida Alves, S/N, 7896-951 Abrantes",Three-phase,8/8/2021,MTR1043,Active,T018,Henrique Azevedo
CN1044,C021,Vítor da Paiva,"R. de Matos, 33, 8520-232 Vizela",Three-phase,10/5/2025,MTR1044,Disconnected,T027,Mia Cunha-Maia
CN1045,C308,Bárbara Leal,"Av das Gaivotas ao Parque das Nações, S/N, 9158-912 Vila Franca de Xira",Three-phase,5/27/2020,MTR1045,Suspended,T119,Bárbara Assunção
CN1046,C074,Sofia Campos,"Av Gaspar, S/N, 9182-851 Santa Comba Dão",Single-phase,5/3/2020,MTR1046,Active,T069,Eva Fonseca
CN1047,C563,Rafael Vaz,"Largo Irina Martins, 60, 7874-422 Peso da Régua",Single-phase,9/26/2024,MTR1047,Active,T049,Ana do Anjos
CN1048,C529,Constança Sousa-Marques,"Largo Rafael Sousa, 290, 5996-706 Beja",Single-phase,7/18/2021,MTR1048,Suspended,T103,Filipa-Jéssica Pinheiro
CN1049,C183,Sebastião Jesus,"Rua Vera Pinto, S/N, 2600-014 Angra do Heroísmo",Three-phase,6/26/2025,MTR1049,Suspended,T112,Edgar Barbosa
CN1050,C556,Yasmin Nunes,"Praça de Castro, 702, 5686-295 Estarreja",Single-phase,8/11/2020,MTR1050,Disconnected,T028,Beatriz Cunha-Valente
CN1051,C156,Pilar Gaspar,"Avenida Cardeal Cerejeira, 40, 5084-243 Viana do Castelo",Three-phase,1/10/2020,MTR1051,Active,T096,Larissa de Pires
CN1052,C026,Fabiana Moura,"Alameda de Chaves de Oliveira, 51, 9396-061 Matosinhos",Single-phase,4/21/2025,MTR1052,Suspended,T078,Daniel Campos-Cruz
CN1053,C464,Teresa Antunes,"Largo de Carrilho Videira, 85, 7583-392 Ponte de Sor",Three-phase,6/27/2025,MTR1053,Suspended,T071,Lourenço Nogueira
CN1054,C549,Jorge Neves,"Alameda das Laranjeiras, 1, 3440-777 Rebordosa",Three-phase,5/19/2020,MTR1054,Suspended,T060,Carlos Soares
CN1055,C503,Filipa Machado,"Largo Isabela Abreu, 12, 3638-564 Bragança",Three-phase,11/22/2018,MTR1055,Suspended,T047,Adriana Coelho-Correia
CN1056,C224,João Magalhães,"Travessa de Rodrigues, 85, 7842-711 Tavira",Three-phase,3/12/2025,MTR1056,Suspended,T103,Filipa-Jéssica Pinheiro
CN1057,C189,Henrique Nogueira,"Alameda Central, 48, 1971-997 Vila Nova de Santo André",Three-phase,2/18/2024,MTR1057,Suspended,T048,Bianca-Leonor Barros
CN1058,C025,Kévim Melo,"R. Miguel Campos, S/N, 2499-471 Oliveira de Azeméis",Single-phase,10/24/2025,MTR1058,Disconnected,T073,César Costa
CN1059,C358,Edgar Campos,"Alameda do Adro, S/N, 6620-471 Albufeira",Three-phase,1/19/2022,MTR1059,Disconnected,T003,Tatiana Nunes
CN1060,C391,Kelly Lourenço-Macedo,"Praça do Carregal, 61, 9220-949 Tarouca",Three-phase,3/31/2024,MTR1060,Suspended,T075,Luciana Sá
CN1061,C223,Sofia Garcia,"Avenida André Macedo, 5, 9375-919 Gafanha da Nazaré",Three-phase,8/17/2020,MTR1061,Active,T026,Marco Ferreira
CN1062,C404,Bruno Nogueira,"Largo Loureiro, S/N, 9168-154 Ribeira Grande",Single-phase,2/23/2024,MTR1062,Suspended,T073,César Costa
CN1063,C053,Igor Gonçalves,"R. de Monteiro, 5, 1461-331 Portalegre",Three-phase,12/13/2023,MTR1063,Suspended,T084,David Alves
CN1064,C395,Igor Pinho,"Largo de Grijó, 9, 8986-818 Loures",Three-phase,5/30/2020,MTR1064,Disconnected,T106,Filipe Costa
CN1065,C527,Ivan Faria,"R. Neves, 64, 2022-017 Olhão",Three-phase,6/6/2019,MTR1065,Suspended,T095,Nuno Melo-Garcia
CN1066,C430,Vicente Barbosa,"Avenida de Viterbo de Campos, 860, 2643-850 Viseu",Three-phase,6/5/2022,MTR1066,Active,T094,Gustavo Vieira-Domingues
CN1067,C216,Helena Melo,"R. Pereira, S/N, 3504-960 Santana",Three-phase,11/6/2019,MTR1067,Active,T093,Renata Cruz
CN1068,C351,Samuel Moreira-Ferreira,"R. Ema Martins, 60, 7398-622 Mangualde",Single-phase,11/11/2019,MTR1068,Disconnected,T083,Noa Simões
CN1069,C152,Nádia Guerreiro,"Travessa Mota, 77, 8455-939 Paços de Ferreira",Single-phase,1/28/2022,MTR1069,Disconnected,T108,Frederico Amaral
CN1070,C254,Mia Vicente,"Rua de Lopes, 31, 6110-627 Seia",Single-phase,1/13/2024,MTR1070,Suspended,T098,Alexandre de Gomes
CN1071,C438,Isabela Fernandes,"Largo Lima, 48, 4116-597 Póvoa de Varzim",Single-phase,5/25/2021,MTR1071,Active,T108,Frederico Amaral
CN1072,C186,Violeta-Helena Rocha,"Rua de Costa, S/N, 8111-719 Aveiro",Single-phase,9/12/2019,MTR1072,Active,T020,Denis Pires
CN1073,C427,Anita Matias,"R. Nair Monteiro, S/N, 9345-962 Fundão",Three-phase,10/11/2023,MTR1073,Active,T059,Daniel Carvalho
CN1074,C588,Emma Jesus-Valente,"Travessa Letícia Martins, S/N, 7842-170 Vila Real",Three-phase,3/22/2020,MTR1074,Disconnected,T082,Joaquim Guerreiro
CN1075,C116,Sofia Moura,"Travessa Daniel Andrade, 70, 9118-722 Montemor-o-Novo",Single-phase,2/21/2024,MTR1075,Disconnected,T003,Tatiana Nunes
CN1076,C342,Xavier Guerreiro,"Rua de Neves, 2, 9196-655 Guarda",Single-phase,11/5/2022,MTR1076,Active,T053,Camila Tavares
CN1077,C057,Camila Ramos-Baptista,"Avenida Alves, S/N, 7896-951 Abrantes",Three-phase,9/14/2025,MTR1077,Disconnected,T093,Renata Cruz
CN1078,C157,Ricardo Cardoso-Azevedo,"Praça Reis, 19, 2379-006 Miranda do Douro",Three-phase,4/4/2019,MTR1078,Active,T003,Tatiana Nunes
CN1079,C162,Inês Almeida,"Travessa Ramos, 186, 7218-600 Fiães",Single-phase,5/30/2024,MTR1079,Disconnected,T118,Melissa Cardoso
CN1080,C253,Ângelo Nogueira,"Travessa Faria, 96, 0548-510 Seia",Single-phase,9/14/2024,MTR1080,Disconnected,T031,Luca Matos
CN1081,C323,Benjamim Leite,"Alameda Loureiro, S/N, 9179-202 Estremoz",Three-phase,12/23/2024,MTR1081,Suspended,T033,Pedro Sousa
CN1082,C531,Maria de Figueiredo,"Alameda Valente, 681, 2450-000 Alverca do Ribatejo",Single-phase,8/13/2021,MTR1082,Suspended,T051,David do Cardoso
CN1083,C125,Carlos Castro,"Avenida de Pinho, 66, 2853-533 Montijo",Single-phase,4/16/2025,MTR1083,Disconnected,T059,Daniel Carvalho
CN1084,C231,Gabriel Sousa,"Travessa de Borges, 14, 9822-180 Póvoa de Varzim",Single-phase,9/5/2021,MTR1084,Disconnected,T039,Júlia Assunção
CN1085,C254,Mia Vicente,"Rua de Lopes, 31, 6110-627 Seia",Single-phase,5/2/2025,MTR1085,Active,T084,David Alves
CN1086,C125,Carlos Castro,"Avenida de Pinho, 66, 2853-533 Montijo",Three-phase,3/7/2020,MTR1086,Disconnected,T049,Ana do Anjos
CN1087,C031,Amélia Reis-Araújo,"Travessa Lima, 36, 8692-221 Lourosa",Single-phase,4/9/2022,MTR1087,Disconnected,T008,Mauro Faria
CN1088,C470,Beatriz Loureiro,"R. de Reis, S/N, 6175-518 Almada",Three-phase,6/8/2020,MTR1088,Suspended,T011,Guilherme Antunes
CN1089,C195,Paulo Vicente,"Praça Tatiana Maia, 83, 3950-410 Silves",Three-phase,10/8/2025,MTR1089,Disconnected,T101,Andreia Cruz
CN1090,C254,Mia Vicente,"Rua de Lopes, 31, 6110-627 Seia",Single-phase,9/24/2019,MTR1090,Active,T013,Jéssica-Letícia Assunção
CN1091,C566,Petra Maia,"R. Correia, S/N, 3920-491 Póvoa de Santa Iria",Three-phase,7/20/2022,MTR1091,Suspended,T116,Lúcia do Pinto
CN1092,C340,Filipe Azevedo,"Rua de Rocha, 27, 0598-445 Mealhada",Single-phase,4/22/2021,MTR1092,Disconnected,T119,Bárbara Assunção
CN1093,C245,Tatiana-Lorena Simões,"Av de Miranda, 6, 7480-957 Viseu",Single-phase,8/16/2021,MTR1093,Active,T116,Lúcia do Pinto
CN1094,C345,Simão Anjos,"Av José António Marques, 79, 0667-005 Rio Maior",Single-phase,3/26/2024,MTR1094,Active,T041,Afonso Machado
CN1095,C141,Madalena Almeida,"Largo de Miranda, 6, 3285-558 Ílhavo",Three-phase,3/20/2024,MTR1095,Active,T019,Marcos Gaspar
CN1096,C593,Salomé Baptista,"Praça de Teixeira, 3, 3186-830 Vila Real de Santo António",Single-phase,6/9/2020,MTR1096,Disconnected,T021,Ana Guerreiro
CN1097,C038,Gabriela da Rodrigues,"Largo de Mota, 69, 5055-362 Santo Tirso",Three-phase,10/20/2019,MTR1097,Disconnected,T109,Joel Antunes
CN1098,C513,Vitória Pinto,"Avenida Afonso de Albuquerque, 137, 2424-462 Horta",Three-phase,4/29/2024,MTR1098,Disconnected,T043,Alexandre Vicente
CN1099,C216,Helena Melo,"R. Pereira, S/N, 3504-960 Santana",Single-phase,10/21/2024,MTR1099,Disconnected,T102,Salvador Barros
CN1100,C591,Yara Tavares,"Avenida Benedita Pereira, 9, 9166-316 Quarteira",Single-phase,5/10/2020,MTR1100,Active,T045,Inês Paiva
CN1101,C082,Pedro Pinto,"R. do Carregal, 48, 3688-501 Fiães",Single-phase,7/17/2023,MTR1101,Suspended,T030,Marta-Emma Torres
CN1102,C483,Tomé do Ribeiro,"Rua dos Aliados, S/N, 2038-819 Santo Tirso",Three-phase,2/16/2020,MTR1102,Suspended,T099,Valentim Miranda
CN1103,C268,Irina do Correia,"Rua Gonçalo Andrade, S/N, 4968-549 Fafe",Three-phase,1/29/2024,MTR1103,Suspended,T082,Joaquim Guerreiro
CN1104,C315,Marco Marques,"Alameda do Regado, 56, 2029-390 Torres Novas",Three-phase,4/11/2020,MTR1104,Disconnected,T030,Marta-Emma Torres
CN1105,C144,Gaspar Coelho,"Praça de Luiz I, 51, 6474-370 Odivelas",Single-phase,1/26/2019,MTR1105,Disconnected,T056,Filipa Araújo-Reis
CN1106,C428,Mauro Cardoso,"Rua de Lopes, 87, 0011-547 Lixa",Three-phase,6/28/2024,MTR1106,Active,T085,Nádia Magalhães
CN1107,C341,Rafael Macedo,"R. Sousa, 45, 7355-149 Felgueiras",Three-phase,11/4/2023,MTR1107,Active,T080,Gil Machado
CN1108,C531,Maria de Figueiredo,"Rua de Reis, 8, 8714-134 Ermesinde",Single-phase,8/4/2024,MTR1108,Suspended,T010,Bárbara Andrade
CN1109,C262,João Tavares,"Praça Loureiro, 7, 6475-286 Quarteira",Single-phase,12/15/2023,MTR1109,Disconnected,T049,Ana do Anjos
CN1110,C119,Salvador Mota,"R. Paulo Barbosa, 52, 5135-346 Praia da Vitória",Three-phase,10/27/2023,MTR1110,Active,T041,Afonso Machado
CN1111,C250,Nair do Barros,"Largo Moura, S/N, 4527-353 Oliveira do Hospital",Three-phase,3/12/2019,MTR1111,Suspended,T001,Letícia Machado
CN1112,C194,Francisca Gaspar,"Rua de Gomes, S/N, 2814-478 Serpa",Three-phase,8/16/2022,MTR1112,Active,T098,Alexandre de Gomes
CN1113,C414,Kyara da Reis,"Alameda Pinheiro, S/N, 9220-269 Chaves",Single-phase,11/28/2022,MTR1113,Suspended,T012,Eduardo Guerreiro
CN1114,C464,Teresa Antunes,"Alameda Adriana Gomes, 45, 0775-870 Macedo de Cavaleiros",Three-phase,10/27/2019,MTR1114,Active,T072,Igor Miranda
CN1115,C052,Ana Rocha,"Largo de Rodrigues, 8, 2217-043 Guimarães",Three-phase,4/10/2020,MTR1115,Disconnected,T012,Eduardo Guerreiro
CN1116,C589,Bruna Macedo,"Rua do Bicalho, S/N, 2467-287 Santa Cruz",Three-phase,5/15/2025,MTR1116,Suspended,T077,Bianca Lima
CN1117,C357,Marcos Reis,"R. de Palma, 41, 8410-132 Guimarães",Three-phase,1/22/2019,MTR1117,Suspended,T038,Gabriela Ribeiro-Ramos
CN1118,C576,Francisco Mendes,"Travessa Assunção, 320, 0615-927 Vila Nova de Santo André",Single-phase,1/9/2024,MTR1118,Disconnected,T011,Guilherme Antunes
CN1119,C077,Petra Antunes-Neves,"Praça Silva, 10, 0084-840 Fátima",Three-phase,11/25/2018,MTR1119,Active,T022,Tiago da Maia
CN1120,C266,Diogo Jesus,"Alameda Henriques, 30, 9985-193 Esmoriz",Three-phase,3/15/2020,MTR1120,Suspended,T035,Bruno Guerreiro
CN1121,C056,Renato Garcia,"R. Tomé Nascimento, 2, 2370-589 Sines",Single-phase,6/15/2020,MTR1121,Active,T019,Marcos Gaspar
CN1122,C502,Alícia Melo,"Avenida Vieira, 72, 7650-167 São Mamede de Infesta",Three-phase,2/25/2024,MTR1122,Suspended,T036,Daniel Miranda
CN1123,C278,Flor Cruz,"Rua Nunes, 57, 2234-614 Rebordosa",Single-phase,8/8/2023,MTR1123,Suspended,T101,Andreia Cruz
CN1124,C040,Isabela Simões,"Alameda de Borges, 43, 9748-768 Praia da Vitória",Three-phase,4/1/2023,MTR1124,Disconnected,T032,Pedro Amorim
CN1125,C016,Laura do Melo,"Rua João Loureiro, 93, 3910-657 Paços de Ferreira",Three-phase,8/1/2022,MTR1125,Active,T026,Marco Ferreira
CN1126,C403,Luís Garcia,"Rua Joel Maia, 52, 6931-729 Santo Tirso",Single-phase,6/30/2024,MTR1126,Suspended,T039,Júlia Assunção
CN1127,C250,Nair do Barros,"Rua de Borges, 2, 6394-762 Montemor-o-Novo",Three-phase,4/18/2020,MTR1127,Suspended,T108,Frederico Amaral
CN1128,C599,César Simões,"Avenida de Brito, 85, 7265-976 Almeirim",Three-phase,10/15/2020,MTR1128,Disconnected,T043,Alexandre Vicente
CN1129,C525,Adriana Morais,"Praça da Ranha, 4, 0557-385 Lixa",Three-phase,8/11/2021,MTR1129,Suspended,T018,Henrique Azevedo
CN1130,C343,Martim Mota,"Praça de Figueiredo, 646, 2554-411 Vendas Novas",Single-phase,3/8/2024,MTR1130,Suspended,T089,Luna Abreu
CN1131,C467,Núria Gonçalves,"Praça Loureiro, 43, 3574-859 Gouveia",Three-phase,5/26/2019,MTR1131,Suspended,T023,Marcos Neto
CN1132,C148,Denis Monteiro,"Rua Ferreira de Mira, 78, 9703-506 Paços de Ferreira",Three-phase,5/5/2021,MTR1132,Disconnected,T095,Nuno Melo-Garcia
CN1133,C597,Carlota Guerreiro,"Av dos Armazéns, S/N, 1200-393 Oliveira do Hospital",Three-phase,3/25/2022,MTR1133,Suspended,T032,Pedro Amorim
CN1134,C245,Tatiana-Lorena Simões,"Av de Miranda, 6, 7480-957 Viseu",Three-phase,8/27/2022,MTR1134,Suspended,T105,David Neto
CN1135,C240,Tiago Miranda,"Rua Garcia, 3, 9939-089 Sacavém",Single-phase,4/10/2025,MTR1135,Disconnected,T120,Raquel Coelho
CN1136,C448,Luna Ramos-Macedo,"Praça de Gomes, 12, 5944-102 Torres Vedras",Single-phase,9/15/2020,MTR1136,Disconnected,T024,Marco Araújo
CN1137,C319,Fábio Azevedo,"Praça Irmã Lúcia, 412, 3888-048 Castelo Branco",Single-phase,5/10/2020,MTR1137,Suspended,T091,Sara Domingues
CN1138,C489,João Freitas-Miranda,"Av de Valente, 1, 0254-972 Fundão",Single-phase,7/13/2019,MTR1138,Suspended,T038,Gabriela Ribeiro-Ramos
CN1139,C379,Catarina Moura,"Largo de Mota, S/N, 6328-246 Alcácer do Sal",Single-phase,6/27/2022,MTR1139,Disconnected,T064,Júlia Vaz
CN1140,C556,Yasmin Nunes,"Praça Caetana Garcia, S/N, 9286-433 Faro",Three-phase,10/18/2023,MTR1140,Disconnected,T031,Luca Matos
CN1141,C262,João Tavares,"Praça Loureiro, 7, 6475-286 Quarteira",Three-phase,3/16/2023,MTR1141,Suspended,T092,Sara-Jéssica Domingues
CN1142,C418,Marcos Abreu,"Largo Isabel Almeida, S/N, 3971-307 Fiães",Three-phase,2/3/2024,MTR1142,Disconnected,T058,Henrique Santos-Amorim
CN1143,C455,Rodrigo Lima,"Praça Maria Barros, 99, 7161-158 Santa Cruz",Three-phase,8/19/2023,MTR1143,Disconnected,T069,Eva Fonseca
CN1144,C042,Fabiana Cunha,"Travessa Ivan Sousa, 62, 6185-759 Seia",Three-phase,8/14/2019,MTR1144,Disconnected,T102,Salvador Barros
CN1145,C404,Bruno Nogueira,"R. das Tágides, 67, 3112-138 Tavira",Single-phase,6/19/2025,MTR1145,Active,T069,Eva Fonseca
CN1146,C203,Valentina Soares,"Travessa Mia Amorim, 13, 1776-135 Abrantes",Three-phase,10/27/2022,MTR1146,Active,T032,Pedro Amorim
CN1147,C339,Patrícia Melo,"Avenida de Correia, 90, 8823-513 Paços de Ferreira",Single-phase,7/9/2021,MTR1147,Disconnected,T079,Valentim Lima
CN1148,C195,Paulo Vicente,"Praça Tatiana Maia, 83, 3950-410 Silves",Three-phase,12/9/2018,MTR1148,Suspended,T087,Erica Rocha
CN1149,C332,Beatriz Gomes,"Praça de Pinto, 37, 6105-110 Aveiro",Single-phase,8/29/2025,MTR1149,Active,T056,Filipa Araújo-Reis
CN1150,C224,João Magalhães,"Travessa de Rodrigues, 85, 7842-711 Tavira",Single-phase,3/20/2023,MTR1150,Disconnected,T034,Fabiana Tavares
CN1151,C194,Francisca Gaspar,"Av Matias Loureiro, 24, 6166-497 Alverca do Ribatejo",Single-phase,11/22/2020,MTR1151,Suspended,T067,Henrique Guerreiro
CN1152,C479,Juliana Miranda,"Avenida Flor da Rosa, 555, 7992-304 Lamego",Three-phase,9/23/2024,MTR1152,Disconnected,T051,David do Cardoso
CN1153,C053,Igor Gonçalves,"Avenida de Santos, 16, 8413-623 Oliveira de Azeméis",Single-phase,4/26/2021,MTR1153,Suspended,T089,Luna Abreu
CN1154,C257,Melissa Melo,"Rua de Reis, 57, 8563-027 Alcobaça",Single-phase,12/9/2020,MTR1154,Suspended,T062,Simão Faria
CN1155,C151,Guilherme de Magalhães,"R. Torres, 42, 4730-577 Chaves",Single-phase,8/23/2024,MTR1155,Active,T118,Melissa Cardoso
CN1156,C060,Luca Fernandes-Campos,"Av de Godim, 69, 0120-339 Entroncamento",Single-phase,10/31/2019,MTR1156,Suspended,T094,Gustavo Vieira-Domingues
CN1157,C339,Patrícia Melo,"Avenida Mateus Lopes, 26, 7493-251 Marinha Grande",Three-phase,5/24/2021,MTR1157,Active,T044,Alexandre de Batista
CN1158,C077,Petra Antunes-Neves,"Praça Silva, 10, 0084-840 Fátima",Three-phase,6/25/2023,MTR1158,Suspended,T062,Simão Faria
CN1159,C109,Vera Assunção,"Alameda dos Corvos, 53, 6042-276 Olhão",Three-phase,8/6/2022,MTR1159,Suspended,T057,Larissa Machado
CN1160,C001,Bruna Baptista,"Praça Cruz, 87, 8333-647 Alcobaça",Single-phase,5/18/2020,MTR1160,Disconnected,T039,Júlia Assunção
CN1161,C327,Igor Machado,"Rua de Brito, 7, 2169-069 Vila Nova de Gaia",Three-phase,3/2/2023,MTR1161,Disconnected,T003,Tatiana Nunes
CN1162,C253,Ângelo Nogueira,"Largo Mélanie Torres, 90, 1947-855 Entroncamento",Single-phase,12/4/2019,MTR1162,Disconnected,T087,Erica Rocha
CN1163,C152,Nádia Guerreiro,"Av Rui Garcia, 589, 5381-180 Vila Nova de Foz Côa",Single-phase,11/5/2020,MTR1163,Disconnected,T067,Henrique Guerreiro
CN1164,C384,Camila Vicente,"Travessa Machado, 32, 4355-196 Vila Nova de Santo André",Three-phase,1/31/2021,MTR1164,Suspended,T043,Alexandre Vicente
CN1165,C212,Enzo Neto,"Av de D. Afonso Henriques, 64, 4708-231 Beja",Three-phase,10/25/2023,MTR1165,Disconnected,T103,Filipa-Jéssica Pinheiro
CN1166,C186,Violeta-Helena Rocha,"R. de Brito, S/N, 0486-186 Alverca do Ribatejo",Three-phase,3/24/2023,MTR1166,Suspended,T024,Marco Araújo
CN1167,C133,Rui do Teixeira,"Av de Vandoma, S/N, 2600-136 Ermesinde",Single-phase,12/21/2021,MTR1167,Suspended,T095,Nuno Melo-Garcia
CN1168,C291,Vicente Machado,"R. João Moreira, 9, 7932-302 Marinha Grande",Three-phase,5/10/2023,MTR1168,Active,T055,Leandro Sousa
CN1169,C460,Leonor Leal,"Alameda Valentina Melo, 23, 5763-101 Vendas Novas",Single-phase,10/3/2025,MTR1169,Suspended,T028,Beatriz Cunha-Valente
CN1170,C246,Benedita Branco,"Praça de Campos, 16, 2277-707 Guimarães",Single-phase,1/15/2023,MTR1170,Disconnected,T091,Sara Domingues
CN1171,C475,Andreia Rodrigues,"Praça dos Aliados, 59, 7129-035 Amarante",Single-phase,6/24/2022,MTR1171,Suspended,T103,Filipa-Jéssica Pinheiro
