technician_id,technician_name,email,phone,region,skills
T097,Marco Andrade,thenriques@correia.org,925 579 220,Faro,Inspection
T098,Alexandre de Gomes,isabela64@araujo.com,(351) 290 025 121,Coimbra,Connection Setup
T099,Valentim Miranda,adriana58@correia.pt,3.51927E+11,Lisboa,"Installation, Repair"
T100,Bernardo Figueiredo,ines43@tavares.pt,916 311 388,Faro,"Installation, Repair"
T101,Andreia Cruz,joaquim36@simoes.com,(351) 913474246,Porto,"Installation, Repair"
T102,Salvador Barros,gomesluis@torres.pt,936800852,Porto,Inspection
T103,Filipa-Jéssica Pinheiro,cardosomargarida@rodrigues.pt,(351) 961743043,Lisboa,Connection Setup
T104,Ângela Cardoso,franciscalopes@carneiro.org,936 527 523,Faro,Connection Setup
T105,David Neto,luanaesteves@brito.com,3.51927E+11,Lisboa,Connection Setup
T106,Filipe Costa,amelia77@vaz.pt,250 762 799,Porto,Inspection
T107,Victória Guerreiro,soraiaantunes@freitas.net,(351) 961 239 847,Faro,"Installation, Repair"
T108,Frederico Amaral,marciotorres@andrade.pt,(351) 290 172 224,Faro,Meter Replacement
T109,Joel Antunes,avalente@silva.pt,(351) 927754619,Faro,Meter Replacement
T110,Gaspar Anjos,olopes@nogueira.pt,(351) 258122590,Faro,Connection Setup
T111,Yasmin-Salomé Leal,wmachado@torres.org,932373379,Lisboa,Inspection
T112,Edgar Barbosa,diogobaptista@borges.com,(351) 915869017,Coimbra,Inspection
T113,Marcos Gaspar,ribeiroluca@lima.pt,(351) 929 517 122,Porto,"Installation, Repair"
T114,Martim Macedo,martim38@coelho.com,(351) 925 422 162,Coimbra,"Installation, Repair"
T115,Renata Henriques,kyara63@vicente.net,(351) 934 447 048,Porto,Connection Setup
T116,Lúcia do Pinto,andre47@carvalho.pt,3.51285E+11,Lisboa,"Installation, Repair"
T117,Ricardo Tavares-Coelho,omartins@carneiro.pt,(351) 242 777 522,Porto,Inspection
T118,Melissa Cardoso,marquesdinis@leite.com,(351) 292059229,Porto,"Installation, Repair"
T119,Bárbara Assunção,victoria63@cardoso.pt,913 637 262,Lisboa,Connection Setup
T120,Raquel Coelho,matiasvitor@jesus.com,3.51921E+11,Porto,Inspection
