service_order_id,connection_id,client_id,client_name,technician_id,technician_name,service_type,start_date,end_date,notes
SO0022,CN1355,C357,Marcos Reis,T029,Ema Vaz,Disconnection,2025-01-11,2025-10-18,Disconnection request fulfilled
SO0023,CN1385,C383,Joaquim Nogueira,T096,Larissa de Pires,Maintenance,2025-09-11,2025-09-15,Protection equipment updated
SO0024,CN1737,C046,Pilar-Diana Henriques,T076,Lorena Andrade-Nascimento,Disconnection,2024-10-27,2025-09-14,Disconnection request fulfilled
SO0025,CN1590,C328,Ivan Gaspar,T047,Adriana Coelho-Correia,Repair,2025-01-14,2025-09-03,Intermittent fault fixed
SO0026,CN1023,C280,Sérgio Paiva,T085,Nádia Magalhães,Installation,2025-07-11,2025-10-10,Installation completed successfully
SO0027,CN1294,C546,Carolina Machado,T035,Bruno Guerreiro,Disconnection,2025-02-18,2025-03-01,Temporary connection removed
SO0028,CN1278,C518,Inês Coelho,T021,Ana Guerreiro,Installation,2025-07-23,2025-08-05,"Partial installation completed, pending approval"
SO0029,CN1851,C109,Vera Assunção,T053,Camila Tavares,Disconnection,2025-03-07,2025-04-30,Temporary connection removed
SO0030,CN1368,C066,Emma do Esteves,T003,Tatiana Nunes,Disconnection,2025-05-09,2025-08-25,Temporary connection removed
SO0031,CN2130,C212,Enzo Neto,T082,Joaquim Guerreiro,Disconnection,2025-04-02,2025-05-14,Temporary connection removed
SO0032,CN1727,C084,Joana Batista,T115,Renata Henriques,Repair,2025-02-10,2025-05-23,Intermittent fault fixed
SO0033,CN1869,C523,Bárbara Garcia,T120,Raquel Coelho,Maintenance,2025-02-06,2025-05-29,Maintenance visit completed
SO0034,CN2183,C502,Alícia Melo,T083,Noa Simões,Disconnection,2025-07-06,2025-10-27,Disconnection request fulfilled
SO0035,CN2027,C112,Daniela Loureiro,T090,Lia-Mélanie Melo,Inspection,2025-10-10,2025-10-17,Continuity test completed
SO0036,CN2118,C546,Carolina Machado,T079,Valentim Lima,Maintenance,2025-04-02,2025-04-09,Routine maintenance performed
SO0037,CN1068,C351,Samuel Moreira-Ferreira,T083,Noa Simões,Installation,2025-01-14,2025-09-16,Equipment setup completed
SO0038,CN1989,C357,Marcos Reis,T074,Ivo de Valente,Inspection,2024-12-15,2025-05-17,Inspection revealed faulty wiring
SO0039,CN2188,C410,Nicole Fernandes,T015,Nicole de Loureiro,Disconnection,2025-08-23,2025-09-29,Disconnection requested by client
SO0040,CN1290,C340,Filipe Azevedo,T061,Filipe Costa-Pacheco,Maintenance,2025-04-18,2025-05-09,Routine maintenance performed
SO0041,CN1952,C530,Kevin Gaspar,T005,Salomé Araújo,Maintenance,2025-06-01,2025-09-25,Maintenance visit completed
SO0042,CN2071,C005,Marta Carvalho,T095,Nuno Melo-Garcia,Maintenance,2025-07-12,2025-10-01,Maintenance visit completed
SO0043,CN1502,C197,Luana Soares,T112,Edgar Barbosa,Disconnection,2025-02-07,2025-09-09,Disconnection requested by client
SO0044,CN2104,C562,Valentim Castro,T080,Gil Machado,Maintenance,2024-11-15,2024-12-15,Routine maintenance performed
SO0045,CN1108,C531,Maria de Figueiredo,T010,Bárbara Andrade,Inspection,2024-12-31,2025-05-27,Underground cable inspection completed
SO0046,CN1022,C087,Ismael Pacheco,T120,Raquel Coelho,Disconnection,2024-11-12,2025-08-20,Temporary connection removed
SO0047,CN2049,C472,Kyara Nunes,T075,Luciana Sá,Disconnection,2024-12-06,2025-09-16,Equipment powered down for maintenance
SO0048,CN1862,C410,Nicole Fernandes,T078,Daniel Campos-Cruz,Inspection,2025-02-23,2025-05-30,Inspection report delivered to client
SO0049,CN1603,C490,Noa de Leite,T108,Frederico Amaral,Inspection,2025-10-18,2025-10-20,Electrical safety check completed
SO0050,CN1072,C186,Violeta-Helena Rocha,T020,Denis Pires,Maintenance,2025-09-13,2025-10-04,Meter firmware updated
SO0051,CN1622,C157,Ricardo Cardoso-Azevedo,T088,Daniela Esteves,Maintenance,2025-06-15,2025-07-12,Routine maintenance performed
SO0052,CN1125,C016,Laura do Melo,T026,Marco Ferreira,Disconnection,2025-01-06,2025-03-16,Disconnection request fulfilled
SO0053,CN2173,C145,Cláudio Alves,T022,Tiago da Maia,Installation,2025-08-27,2025-09-22,Temporary connection installed for testing
SO0054,CN1055,C503,Filipa Machado,T047,Adriana Coelho-Correia,Inspection,2025-01-31,2025-03-30,Continuity test completed
SO0055,CN1168,C291,Vicente Machado,T055,Leandro Sousa,Repair,2025-02-21,2025-09-23,Circuit breaker fault corrected
SO0056,CN1157,C339,Patrícia Melo,T044,Alexandre de Batista,Inspection,2025-03-11,2025-08-21,Amperage test performed successfully
SO0057,CN1271,C189,Henrique Nogueira,T104,Ângela Cardoso,Maintenance,2025-04-17,2025-08-09,Routine maintenance performed
SO0058,CN1563,C453,Denis Oliveira,T054,Soraia Pinto,Inspection,2025-09-04,2025-09-05,Inspection revealed faulty wiring
SO0059,CN1228,C399,Kelly Carvalho,T101,Andreia Cruz,Maintenance,2025-08-18,2025-09-11,Preventive visit performed
SO0060,CN1309,C057,Camila Ramos-Baptista,T031,Luca Matos,Disconnection,2025-07-30,2025-09-25,Equipment powered down for maintenance
SO0061,CN1359,C078,Carlos Neves,T105,David Neto,Inspection,2025-01-01,2025-01-10,Inspection report delivered to client
SO0062,CN1483,C546,Carolina Machado,T088,Daniela Esteves,Disconnection,2025-07-31,2025-08-02,Disconnection request fulfilled
SO0063,CN2080,C197,Luana Soares,T089,Luna Abreu,Installation,2025-03-23,2025-07-16,Temporary connection installed for testing
SO0064,CN1172,C092,Lia Assunção,T026,Marco Ferreira,Repair,2025-02-25,2025-08-29,Circuit breaker fault corrected
SO0065,CN1315,C291,Vicente Machado,T073,César Costa,Disconnection,2024-11-18,2024-12-17,Temporary connection removed
SO0066,CN1784,C576,Francisco Mendes,T048,Bianca-Leonor Barros,Repair,2025-08-31,2025-10-10,Transformer fault detected
SO0067,CN1901,C092,Lia Assunção,T003,Tatiana Nunes,Repair,2025-07-02,2025-07-16,Intermittent fault fixed
SO0068,CN2183,C502,Alícia Melo,T083,Noa Simões,Inspection,2024-12-24,2025-02-18,Inspection revealed faulty wiring
SO0069,CN1541,C324,Fábio Assunção,T053,Camila Tavares,Installation,2025-09-14,2025-10-01,Installation completed successfully
SO0070,CN1343,C579,Vasco Maia,T028,Beatriz Cunha-Valente,Disconnection,2024-11-30,2025-02-10,Temporary connection removed
SO0071,CN1975,C233,Gonçalo Matos,T051,David do Cardoso,Inspection,2024-12-06,2025-02-05,Continuity test completed
SO0072,CN2090,C459,Joel Araújo,T091,Sara Domingues,Repair,2025-04-13,2025-06-24,Damaged cables replaced
SO0073,CN1798,C452,Wilson Cruz,T036,Daniel Miranda,Disconnection,2025-06-19,2025-08-26,Equipment powered down for maintenance
SO0074,CN1297,C201,José Silva,T113,Marcos Gaspar,Maintenance,2025-02-12,2025-08-04,Protection equipment updated
SO0075,CN1024,C099,Noah Soares,T120,Raquel Coelho,Inspection,2025-07-09,2025-10-24,Inspection report delivered to client
SO0076,CN1919,C581,Naiara Ferreira,T082,Joaquim Guerreiro,Disconnection,2025-09-23,2025-10-01,Equipment powered down for maintenance
SO0077,CN2085,C088,Mélanie Batista,T059,Daniel Carvalho,Installation,2025-03-26,2025-07-12,Installation completed successfully
SO0078,CN2088,C348,Madalena Matias,T016,Micael Esteves,Inspection,2024-10-30,2025-09-27,Inspection report delivered to client
SO0079,CN1884,C446,Carolina da Amaral,T020,Denis Pires,Maintenance,2025-04-29,2025-10-24,Meter firmware updated
SO0080,CN1558,C240,Tiago Miranda,T052,Nair-Sofia Costa,Inspection,2025-04-23,2025-05-05,Amperage test performed successfully
SO0081,CN1546,C068,Raquel Barbosa,T064,Júlia Vaz,Installation,2024-11-12,2025-08-19,Temporary connection installed for testing
SO0082,CN2196,C470,Beatriz Loureiro,T027,Mia Cunha-Maia,Disconnection,2025-03-23,2025-08-10,Temporary connection removed
SO0083,CN1495,C050,Erica Macedo,T029,Ema Vaz,Maintenance,2024-12-09,2024-12-18,Preventive visit performed
SO0084,CN2064,C404,Bruno Nogueira,T061,Filipe Costa-Pacheco,Inspection,2025-03-31,2025-04-08,Main panel cleaned and inspected
SO0085,CN1368,C066,Emma do Esteves,T003,Tatiana Nunes,Inspection,2024-11-09,2025-04-18,Underground cable inspection completed
SO0086,CN1021,C052,Ana Rocha,T045,Inês Paiva,Installation,2025-01-09,2025-06-15,Installation completed successfully
SO0087,CN1024,C099,Noah Soares,T120,Raquel Coelho,Disconnection,2025-06-19,2025-08-15,Disconnection requested by client
SO0088,CN2075,C105,Lara Oliveira,T072,Igor Miranda,Installation,2025-07-20,2025-09-09,Main switch installed
SO0089,CN1719,C321,Naiara Coelho,T034,Fabiana Tavares,Repair,2025-01-06,2025-01-09,Transformer fault detected
SO0090,CN1580,C101,William Silva,T103,Filipa-Jéssica Pinheiro,Inspection,2025-01-27,2025-09-14,Electrical safety check completed
SO0091,CN1069,C152,Nádia Guerreiro,T108,Frederico Amaral,Installation,2025-03-04,2025-04-23,Equipment setup completed
SO0092,CN1188,C433,Mariana Esteves,T065,Mafalda Baptista,Installation,2025-10-01,2025-10-09,Equipment setup completed
SO0093,CN1444,C302,Eduarda-Pilar Carneiro,T003,Tatiana Nunes,Maintenance,2025-02-07,2025-08-04,Meter firmware updated
SO0094,CN1249,C478,André Simões-Fonseca,T020,Denis Pires,Installation,2025-09-08,2025-10-21,Installation completed successfully
SO0095,CN1266,C105,Lara Oliveira,T119,Bárbara Assunção,Disconnection,2025-06-10,2025-08-16,Disconnection request fulfilled
SO0096,CN1227,C566,Petra Maia,T007,Luca Sousa-Brito,Repair,2025-05-02,2025-08-19,Short-circuit repair performed
SO0097,CN1603,C490,Noa de Leite,T108,Frederico Amaral,Disconnection,2025-01-04,2025-09-18,Disconnection requested by client
SO0098,CN1928,C462,Renato Borges,T080,Gil Machado,Inspection,2025-05-17,2025-09-28,Inspection report delivered to client
SO0099,CN1874,C527,Ivan Faria,T037,Enzo Sá,Inspection,2025-01-24,2025-07-26,Amperage test performed successfully
SO0100,CN1331,C282,Santiago Fonseca,T110,Gaspar Anjos,Installation,2025-03-18,2025-10-24,Temporary connection installed for testing
SO0101,CN1127,C250,Nair do Barros,T108,Frederico Amaral,Disconnection,2025-01-24,2025-10-13,Temporary connection removed
SO0102,CN1681,C083,Naiara Ramos,T039,Júlia Assunção,Installation,2025-04-01,2025-09-04,Temporary connection installed for testing
SO0103,CN1542,C105,Lara Oliveira,T071,Lourenço Nogueira,Repair,2025-02-22,2025-07-26,Damaged cables replaced
SO0104,CN1142,C418,Marcos Abreu,T058,Henrique Santos-Amorim,Disconnection,2025-08-25,2025-10-24,Disconnection request fulfilled
SO0105,CN1804,C517,Marta Valente-Leal,T049,Ana do Anjos,Repair,2025-10-24,2025-10-27,Transformer fault detected
SO0106,CN2007,C511,Adriana Barros,T095,Nuno Melo-Garcia,Installation,2025-05-16,2025-09-01,"Partial installation completed, pending approval"
SO0107,CN2107,C146,Isabel Pinho,T074,Ivo de Valente,Disconnection,2025-09-20,2025-10-27,Disconnection request fulfilled
SO0108,CN1217,C116,Sofia Moura,T096,Larissa de Pires,Disconnection,2025-05-29,2025-06-01,Equipment powered down for maintenance
SO0109,CN1211,C052,Ana Rocha,T111,Yasmin-Salomé Leal,Installation,2025-10-25,2025-10-27,Installation completed successfully
SO0110,CN1144,C042,Fabiana Cunha,T102,Salvador Barros,Maintenance,2024-11-08,2025-06-17,Meter firmware updated
SO0111,CN1513,C464,Teresa Antunes,T094,Gustavo Vieira-Domingues,Disconnection,2025-03-11,2025-03-12,Disconnection requested by client
SO0112,CN2019,C559,Edgar Neves-Machado,T089,Luna Abreu,Repair,2025-07-14,2025-08-19,Transformer fault detected
SO0113,CN1001,C594,Iara Fernandes,T020,Denis Pires,Installation,2025-03-30,2025-08-09,Main switch installed
SO0114,CN1545,C230,Kyara Ferreira,T117,Ricardo Tavares-Coelho,Repair,2024-11-15,2025-07-30,Transformer fault detected
SO0115,CN1675,C470,Beatriz Loureiro,T014,Tiago Baptista,Disconnection,2024-12-24,2025-09-06,Disconnection requested by client
SO0116,CN2055,C210,Mia Cruz-Sousa,T039,Júlia Assunção,Disconnection,2025-06-20,2025-10-14,Temporary connection removed
SO0117,CN1893,C075,Ismael Gomes,T034,Fabiana Tavares,Disconnection,2025-06-05,2025-08-30,Disconnection requested by client
SO0118,CN2106,C494,Afonso Faria,T005,Salomé Araújo,Repair,2025-06-11,2025-08-02,Repair of connection after outage
SO0119,CN1787,C357,Marcos Reis,T008,Mauro Faria,Disconnection,2025-01-14,2025-10-16,Disconnection requested by client
SO0120,CN2161,C037,Daniel Nunes,T120,Raquel Coelho,Maintenance,2025-08-23,2025-09-02,Routine maintenance performed
SO0121,CN1682,C395,Igor Pinho,T112,Edgar Barbosa,Inspection,2025-01-24,2025-09-16,Continuity test completed
SO0122,CN1113,C414,Kyara da Reis,T012,Eduardo Guerreiro,Installation,2025-03-21,2025-05-18,Temporary connection installed for testing
SO0123,CN2094,C226,Caetana Macedo,T019,Marcos Gaspar,Inspection,2024-10-28,2025-01-25,Inspection revealed faulty wiring
SO0124,CN1941,C140,Bruna Castro-Rodrigues,T034,Fabiana Tavares,Inspection,2025-04-05,2025-08-15,Main panel cleaned and inspected
SO0125,CN1415,C599,César Simões,T060,Carlos Soares,Repair,2024-12-08,2025-04-01,Circuit breaker fault corrected
SO0126,CN1080,C253,Ângelo Nogueira,T031,Luca Matos,Disconnection,2025-08-16,2025-10-16,Disconnection request fulfilled
SO0127,CN1612,C133,Rui do Teixeira,T120,Raquel Coelho,Disconnection,2025-08-16,2025-10-04,Disconnection requested by client
SO0128,CN1735,C061,Lúcia Pinto,T054,Soraia Pinto,Disconnection,2025-01-11,2025-02-27,Disconnection requested by client
SO0129,CN1896,C529,Constança Sousa-Marques,T110,Gaspar Anjos,Repair,2024-12-08,2025-09-14,Intermittent fault fixed
SO0130,CN1073,C427,Anita Matias,T059,Daniel Carvalho,Repair,2025-06-13,2025-07-31,Repair of connection after outage
SO0131,CN1488,C031,Amélia Reis-Araújo,T092,Sara-Jéssica Domingues,Disconnection,2024-11-30,2025-10-20,Temporary connection removed
SO0132,CN1129,C525,Adriana Morais,T018,Henrique Azevedo,Maintenance,2025-02-23,2025-02-28,Meter firmware updated
SO0133,CN1630,C002,Sandro Fonseca,T101,Andreia Cruz,Disconnection,2024-12-12,2025-01-06,Temporary connection removed
SO0134,CN1033,C077,Petra Antunes-Neves,T029,Ema Vaz,Installation,2025-10-07,2025-10-09,Temporary connection installed for testing
SO0135,CN1114,C464,Teresa Antunes,T072,Igor Miranda,Inspection,2024-11-10,2025-10-26,Inspection report delivered to client
SO0136,CN1087,C031,Amélia Reis-Araújo,T008,Mauro Faria,Disconnection,2025-09-03,2025-10-24,Disconnection requested by client
SO0137,CN1433,C369,Tatiana Reis,T076,Lorena Andrade-Nascimento,Maintenance,2024-12-12,2025-09-28,Protection equipment updated
SO0138,CN2098,C548,Kevin Nunes-Cardoso,T001,Letícia Machado,Repair,2025-02-13,2025-09-25,Transformer fault detected
SO0139,CN2186,C506,Marcos da Machado,T090,Lia-Mélanie Melo,Repair,2025-08-08,2025-08-10,Repair of connection after outage
SO0140,CN1075,C116,Sofia Moura,T003,Tatiana Nunes,Repair,2025-01-21,2025-10-18,Damaged cables replaced
SO0141,CN1039,C288,Alice Lourenço,T069,Eva Fonseca,Disconnection,2025-09-23,2025-10-05,Disconnection requested by client
SO0142,CN1497,C446,Carolina da Amaral,T075,Luciana Sá,Repair,2025-05-08,2025-09-07,Repair of connection after outage
SO0143,CN1352,C176,José Moreira,T101,Andreia Cruz,Installation,2025-01-14,2025-06-11,Temporary connection installed for testing
SO0144,CN1199,C475,Andreia Rodrigues,T095,Nuno Melo-Garcia,Disconnection,2025-04-06,2025-09-22,Disconnection request fulfilled
SO0145,CN1130,C343,Martim Mota,T089,Luna Abreu,Installation,2025-06-03,2025-10-11,Installation completed successfully
SO0146,CN2018,C041,Denis Paiva,T112,Edgar Barbosa,Maintenance,2025-05-29,2025-08-16,System-wide review performed
SO0147,CN1451,C434,Benjamim Maia,T098,Alexandre de Gomes,Installation,2025-07-27,2025-08-21,"Partial installation completed, pending approval"
SO0148,CN1872,C588,Emma Jesus-Valente,T020,Denis Pires,Inspection,2025-07-15,2025-09-19,Inspection report delivered to client
SO0149,CN1823,C169,Jéssica-Beatriz Antunes,T112,Edgar Barbosa,Inspection,2025-02-23,2025-07-02,Inspection revealed faulty wiring
SO0150,CN2179,C508,Martim Pires,T040,Soraia Matos,Maintenance,2024-12-04,2025-09-11,Preventive visit performed
SO0151,CN1658,C285,Patrícia do Esteves,T066,Joel do Pinho,Repair,2025-05-10,2025-08-01,Repair of connection after outage
SO0152,CN1355,C357,Marcos Reis,T029,Ema Vaz,Inspection,2025-09-05,2025-09-14,Inspection revealed faulty wiring
SO0153,CN1247,C018,Melissa-Rafaela Amaral,T002,Manuel Lima,Inspection,2025-05-03,2025-05-27,Electrical safety check completed
SO0154,CN1850,C194,Francisca Gaspar,T072,Igor Miranda,Repair,2025-10-02,2025-10-24,Transformer fault detected
SO0155,CN1757,C329,Duarte Teixeira,T106,Filipe Costa,Maintenance,2025-05-29,2025-10-07,Preventive visit performed
SO0156,CN1898,C381,Vítor Garcia,T080,Gil Machado,Repair,2024-12-01,2025-03-24,Circuit breaker fault corrected
SO0157,CN1083,C125,Carlos Castro,T059,Daniel Carvalho,Repair,2025-09-09,2025-09-26,Repair of connection after outage
SO0158,CN1770,C410,Nicole Fernandes,T069,Eva Fonseca,Repair,2025-04-15,2025-07-06,Repair of connection after outage
SO0159,CN1997,C470,Beatriz Loureiro,T090,Lia-Mélanie Melo,Installation,2025-05-07,2025-08-06,Installation completed successfully
SO0160,CN1014,C268,Irina do Correia,T058,Henrique Santos-Amorim,Repair,2025-07-18,2025-08-21,Repair of connection after outage
SO0161,CN1581,C488,Ângela Matias,T064,Júlia Vaz,Disconnection,2025-02-27,2025-03-08,Temporary connection removed
SO0162,CN1259,C140,Bruna Castro-Rodrigues,T050,Samuel Barbosa,Repair,2024-11-15,2025-05-12,Intermittent fault fixed
SO0163,CN1554,C576,Francisco Mendes,T110,Gaspar Anjos,Maintenance,2025-05-24,2025-09-15,Protection equipment updated
SO0164,CN1843,C212,Enzo Neto,T002,Manuel Lima,Repair,2025-09-03,2025-10-07,Intermittent fault fixed
SO0165,CN1077,C057,Camila Ramos-Baptista,T093,Renata Cruz,Maintenance,2025-08-31,2025-09-15,Preventive visit performed
SO0166,CN2023,C050,Erica Macedo,T080,Gil Machado,Maintenance,2025-04-28,2025-07-07,Maintenance visit completed
SO0167,CN1616,C082,Pedro Pinto,T098,Alexandre de Gomes,Inspection,2025-06-30,2025-08-09,Continuity test completed
SO0168,CN1009,C489,João Freitas-Miranda,T075,Luciana Sá,Maintenance,2025-08-23,2025-10-12,Preventive visit performed
SO0169,CN1393,C536,Mia do Simões,T049,Ana do Anjos,Installation,2025-05-02,2025-06-21,Equipment setup completed
SO0170,CN1195,C410,Nicole Fernandes,T015,Nicole de Loureiro,Maintenance,2025-07-23,2025-10-16,Routine maintenance performed
SO0171,CN2105,C363,Gustavo da Macedo,T019,Marcos Gaspar,Maintenance,2025-08-31,2025-10-12,Preventive visit performed
SO0172,CN1950,C179,Rafaela-Carolina Carneiro,T017,Noa Mendes,Repair,2025-05-01,2025-05-25,Short-circuit repair performed
SO0173,CN1108,C531,Maria de Figueiredo,T010,Bárbara Andrade,Repair,2025-01-28,2025-05-19,Repair of connection after outage
SO0174,CN1305,C270,Afonso do Domingues,T070,Camila Pereira,Disconnection,2025-02-10,2025-04-12,Temporary connection removed
SO0175,CN1361,C190,Lourenço Castro,T109,Joel Antunes,Repair,2025-02-25,2025-06-13,Transformer fault detected
SO0176,CN1088,C470,Beatriz Loureiro,T011,Guilherme Antunes,Installation,2025-09-02,2025-10-05,Temporary connection installed for testing
SO0177,CN1583,C367,Yara Oliveira,T053,Camila Tavares,Repair,2025-03-07,2025-09-07,Damaged cables replaced
SO0178,CN1514,C499,Dinis do Pires,T097,Marco Andrade,Inspection,2025-06-03,2025-09-28,Underground cable inspection completed
SO0179,CN1928,C462,Renato Borges,T080,Gil Machado,Installation,2025-10-02,2025-10-11,Installation completed successfully
SO0180,CN1107,C341,Rafael Macedo,T080,Gil Machado,Maintenance,2025-02-25,2025-06-30,Preventive visit performed
SO0181,CN1323,C235,William Anjos,T099,Valentim Miranda,Installation,2025-09-05,2025-10-01,Main switch installed
SO0182,CN2054,C268,Irina do Correia,T098,Alexandre de Gomes,Installation,2025-07-13,2025-09-22,Installation completed successfully
SO0183,CN1481,C020,Noa Andrade,T067,Henrique Guerreiro,Disconnection,2025-04-08,2025-09-12,Equipment powered down for maintenance
SO0184,CN1858,C357,Marcos Reis,T119,Bárbara Assunção,Repair,2025-02-13,2025-08-29,Transformer fault detected
SO0185,CN1667,C343,Martim Mota,T010,Bárbara Andrade,Repair,2025-04-09,2025-07-18,Repair of connection after outage
SO0186,CN1667,C343,Martim Mota,T010,Bárbara Andrade,Repair,2025-04-25,2025-07-03,Repair of connection after outage
SO0187,CN1485,C185,Lourenço Moura,T117,Ricardo Tavares-Coelho,Disconnection,2025-09-10,2025-09-27,Disconnection request fulfilled
SO0188,CN1769,C509,Luca Branco,T075,Luciana Sá,Repair,2025-09-12,2025-09-17,Repair of connection after outage
SO0189,CN1964,C519,Larissa Baptista,T023,Marcos Neto,Maintenance,2025-01-14,2025-05-22,Protection equipment updated
SO0190,CN1111,C250,Nair do Barros,T001,Letícia Machado,Disconnection,2025-09-02,2025-10-13,Disconnection request fulfilled
SO0191,CN1442,C158,Helena Leite-Morais,T114,Martim Macedo,Maintenance,2025-08-19,2025-09-05,Protection equipment updated
SO0192,CN1364,C490,Noa de Leite,T046,Juliana Lima,Disconnection,2025-06-01,2025-08-31,Equipment powered down for maintenance
SO0193,CN1279,C577,Filipa Antunes,T067,Henrique Guerreiro,Disconnection,2024-11-02,2024-11-24,Disconnection request fulfilled
SO0194,CN1734,C326,Nair Jesus,T092,Sara-Jéssica Domingues,Inspection,2025-02-08,2025-05-05,Electrical safety check completed
SO0195,CN1687,C186,Violeta-Helena Rocha,T029,Ema Vaz,Repair,2025-03-08,2025-10-24,Repair of connection after outage
SO0196,CN2164,C077,Petra Antunes-Neves,T099,Valentim Miranda,Installation,2025-05-14,2025-07-04,Temporary connection installed for testing
SO0197,CN1279,C577,Filipa Antunes,T067,Henrique Guerreiro,Installation,2025-07-05,2025-08-21,Main switch installed
SO0198,CN1939,C309,Lisandro Moreira,T071,Lourenço Nogueira,Disconnection,2025-09-19,2025-10-24,Disconnection request fulfilled
SO0199,CN1703,C342,Xavier Guerreiro,T014,Tiago Baptista,Repair,2025-08-31,2025-09-06,Short-circuit repair performed
SO0200,CN1321,C561,Eduardo Gonçalves,T022,Tiago da Maia,Maintenance,2025-03-31,2025-05-11,Preventive visit performed
SO0201,CN2183,C502,Alícia Melo,T083,Noa Simões,Maintenance,2025-05-20,2025-09-23,Preventive visit performed
SO0202,CN1177,C445,Ângela Sousa-Loureiro,T105,David Neto,Disconnection,2025-06-24,2025-08-24,Temporary connection removed
SO0203,CN1443,C237,Tomás de Correia,T007,Luca Sousa-Brito,Maintenance,2024-12-22,2025-04-13,Protection equipment updated
SO0204,CN1947,C262,João Tavares,T079,Valentim Lima,Inspection,2025-01-15,2025-09-29,Inspection revealed faulty wiring
SO0205,CN1876,C378,Denis Barbosa-Cruz,T085,Nádia Magalhães,Repair,2025-10-01,2025-10-21,Intermittent fault fixed
SO0206,CN1670,C309,Lisandro Moreira,T058,Henrique Santos-Amorim,Disconnection,2025-04-02,2025-05-27,Disconnection request fulfilled
SO0207,CN1305,C270,Afonso do Domingues,T070,Camila Pereira,Maintenance,2025-07-21,2025-07-23,Maintenance visit completed
SO0208,CN1855,C220,Ariana Batista,T114,Martim Macedo,Installation,2025-02-13,2025-09-02,Installation completed successfully
SO0209,CN1963,C017,Larissa Antunes,T068,Denis Borges,Maintenance,2025-09-24,2025-10-27,Maintenance visit completed
SO0210,CN1871,C121,Enzo Carvalho-Pereira,T011,Guilherme Antunes,Maintenance,2025-04-24,2025-08-29,Protection equipment updated
SO0211,CN1981,C040,Isabela Simões,T059,Daniel Carvalho,Installation,2025-03-21,2025-05-03,Main switch installed
SO0212,CN2014,C358,Edgar Campos,T057,Larissa Machado,Repair,2024-11-18,2025-02-23,Repair of connection after outage
SO0213,CN2143,C519,Larissa Baptista,T003,Tatiana Nunes,Installation,2025-03-10,2025-04-05,Main switch installed
SO0214,CN1446,C138,Beatriz Gonçalves-Cruz,T013,Jéssica-Letícia Assunção,Repair,2025-06-13,2025-07-20,Short-circuit repair performed
SO0215,CN1605,C459,Joel Araújo,T023,Marcos Neto,Repair,2025-04-26,2025-10-14,Transformer fault detected
